n_estimators,max_depth,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc
80,,4,0.1690664291381836,1.0,1.0,1.0,1.0,1.0,1.0
80,,5,0.14710569381713867,1.0,1.0,1.0,1.0,1.0,1.0
90,10.0,1,0.14228129386901855,1.0,1.0,1.0,1.0,1.0,1.0
90,10.0,2,0.15055632591247559,1.0,1.0,1.0,1.0,1.0,1.0
90,10.0,3,0.14503240585327148,1.0,1.0,1.0,1.0,1.0,1.0
90,10.0,4,0.14835762977600098,1.0,1.0,1.0,1.0,1.0,1.0
90,10.0,5,0.14067506790161133,1.0,1.0,1.0,1.0,1.0,1.0
90,20.0,1,0.16551589965820312,1.0,1.0,1.0,1.0,1.0,1.0
90,20.0,2,0.14414072036743164,1.0,1.0,1.0,1.0,1.0,1.0
90,20.0,3,0.13947200775146484,1.0,1.0,1.0,1.0,1.0,1.0
90,20.0,4,0.1413261890411377,1.0,1.0,1.0,1.0,1.0,1.0
90,20.0,5,0.15053677558898926,1.0,1.0,1.0,1.0,1.0,1.0
90,,1,0.16666841506958008,1.0,1.0,1.0,1.0,1.0,1.0
90,,2,0.14234256744384766,1.0,1.0,1.0,1.0,1.0,1.0
90,,3,0.16253352165222168,1.0,1.0,1.0,1.0,1.0,1.0
90,,4,0.14447665214538574,1.0,1.0,1.0,1.0,1.0,1.0
90,,5,0.14837265014648438,1.0,1.0,1.0,1.0,1.0,1.0
100,10.0,1,0.149308443069458,1.0,1.0,1.0,1.0,1.0,1.0
100,10.0,2,0.16722702980041504,1.0,1.0,1.0,1.0,1.0,1.0
100,10.0,3,0.1641523838043213,1.0,1.0,1.0,1.0,1.0,1.0
100,10.0,4,0.1615438461303711,1.0,1.0,1.0,1.0,1.0,1.0
100,10.0,5,0.15549159049987793,1.0,1.0,1.0,1.0,1.0,1.0
100,20.0,1,0.15110492706298828,1.0,1.0,1.0,1.0,1.0,1.0
100,20.0,2,0.16594719886779785,1.0,1.0,1.0,1.0,1.0,1.0
100,20.0,3,0.1551060676574707,1.0,1.0,1.0,1.0,1.0,1.0
100,20.0,4,0.14944195747375488,1.0,1.0,1.0,1.0,1.0,1.0
100,20.0,5,0.15555095672607422,1.0,1.0,1.0,1.0,1.0,1.0
100,,1,0.1751112937927246,1.0,1.0,1.0,1.0,1.0,1.0
100,,2,0.15383529663085938,1.0,1.0,1.0,1.0,1.0,1.0
100,,3,0.14503884315490723,1.0,1.0,1.0,1.0,1.0,1.0
100,,4,0.1576240062713623,1.0,1.0,1.0,1.0,1.0,1.0
100,,5,0.15479445457458496,1.0,1.0,1.0,1.0,1.0,1.0
